4to 05096820-a:0
deal 06771159-n:2 15100257-n:0
deaminate 00573247-v:0
deaminize 00573247-v:0
death_angel 13003254-n:0
death_cap 13003254-n:0
death_cup 13003254-n:0
death_squad 08209187-n:0
deathblow 00219463-n:0
deathwatch 02177775-n:0
deathwatch_beetle 02177775-n:0
debark 01979241-v:0
debate 07242104-n:5
debauchee 10257647-n:0
debit_card 13376764-n:0
debit_side 13406509-n:0
decalcomania 00935453-n:0
decamp 02073714-v:0
decanter 02960903-n:0
decarboxylation 13456367-n:0
deceptive 01224253-a:0
decollete 01209210-a:0
deconstruction 05970012-n:0
deconstructionism 05970012-n:0
decorate 01675963-v:6
decoy 09995573-n:0
deed_poll 06545843-n:0
deep 00149120-a:0
deep-dish_pie 07625831-n:0
deer_grass 12350032-n:0
deer_mushroom 13019835-n:0
deer_trail 03171002-n:0
defecate 00074038-v:1
defend 01129876-v:3
defer 02642814-v:2
defiance 04907991-n:3
defibrillate 02553002-v:0
defibrillation 00698959-n:0
deficit 13396276-n:0
deflate 00562303-v:0
deflation 00361932-n:0
deflector 03172038-n:0
degenerative_arthritis 14188238-n:0
degenerative_joint_disease 14188238-n:0
degrade 01800422-v:0
delf 03173142-n:0
delft 03173270-n:0
deliberate 01337939-a:2
deliberate_defence 00961328-n:0
deliberate_defense 00961328-n:0
deliberately 00062330-r:12
deliberation 05796423-n:0
delineate 01582645-v:0
delirium 14387202-n:0
deliver 01438304-v:15
delphic_oracle 04407844-n:0
delphinium_ajacis 11732567-n:0
deltoid_eminence 05248921-n:0
deltoid_tuberosity 05248921-n:0
deluge 11454591-n:0 00217700-v:0
delusion 00754767-n:0
demand 02627934-v:22
demanding 00710260-a:4
demean 01800422-v:1
demerit 06794980-n:0
demonstration 01177703-n:3
den 08584218-n:0
dendrobium 12059314-n:0
dent 13904843-n:0 04693384-n:0 01279631-v:3
dental_amalgam 14716550-n:0
dentaria 11881563-n:0
dentist's_drill 03176238-n:0
deparia 13196545-n:0
department_store 03176763-n:8
depilatory 14833729-n:0
deposit 13462191-n:0 00372448-n:0 02310855-v:2 01575675-v:2
deposit_box 04125257-n:0
deposition 13462191-n:0 07194499-n:0 00372448-n:0
derive 00251615-v:3
dermatosis 14225045-n:0
dermoid_cyst 14201682-n:0
derris 12525513-n:0
describe 01582645-v:1
desertification 13462989-n:0
design 00928077-n:13 05902327-n:3 01638368-v:31 00709625-v:28 01640550-v:19 01639714-v:8 01753596-v:0
designed 01339730-a:0
designedly 00062330-r:0
designer 09805475-n:1
designer_drug 03179489-n:0
designing 00928077-n:0
desk 03179701-n:24
despatch 06682794-n:0
destroying_angel 13003254-n:0
detachment 07331400-n:0
detention_camp 03181667-n:0
detention_home 03181667-n:0
detention_house 03181667-n:0
determination 00151497-n:7
determine 00920336-v:0
detoxification 00699146-n:0
deutzia 12790430-n:0
develop 01738774-v:44 00603298-v:5
deviated_septum 14092925-n:0
devil 10169419-n:1
devilfish 01500091-n:0
devising 00923995-n:0
devotion 01042764-n:0
dew_point 05013642-n:0
diaeresis 06823760-n:0
diagram 01693453-v:1
dial 03186818-n:0
diamond_point 03188168-n:1
dianthus_caryophyllus 11808468-n:0
dianthus_chinensis 11808721-n:0
diaper 03188531-n:1 03188725-n:0
diaphragmatic_pleurisy 14330340-n:0
diary 06402031-n:3
diastasis 14294354-n:0
dibber 03190458-n:0
dibble 03190458-n:0 01567754-v:0 01312123-v:0
dickey 03191561-n:0
dickie 03191561-n:0
dicksonia 13190469-n:0
dicky 03191561-n:0
dicot_family 11562747-n:0
dicot_genus 11567411-n:0
die 03192907-n:0
dieresis 06823760-n:0
dig 01311103-v:5 01310660-v:0 01229976-v:0
dig_out 01311103-v:0
dig_up 01313923-v:2
diggings 03195659-n:0
digs 03195659-n:0
dilatation_and_curettage 00670250-n:0
dilate 00955601-v:0
dilation_and_curettage 00670250-n:0
dilatory_plea 06561461-n:0
dilleniidae 12358485-n:0
dimension 05093581-n:7
diminution 07030549-n:0
dimorphotheca 11961266-n:0
dimple 14835817-n:0
dimpled_chad 14835817-n:0
din 00553823-n:7
ding 04693384-n:0
ding-dong 07383616-n:0
dinge 00546609-v:0
dip 01660976-v:0
dip_solder 01595491-v:0
diplococcus 01380610-n:0
dipsacaceae 12682054-n:0
dipteran 02188699-n:0
dipteron 02188699-n:0
dipterous_insect 02188699-n:0
diptych 03204810-n:0
direct 01710317-v:13 00990812-v:0
direct_antonym 06305716-n:0
direct_evidence 06735077-n:1
direct_trust 13362347-n:0
director 10088200-n:0
directory 06490451-n:0
disa 12059625-n:0
disaster 14476290-n:7
disc 03208556-n:0
disc_harrow 03210245-n:0
discerning 00775135-a:0
discharge 01489465-v:0
discourse 07243837-n:0
discover 00598954-v:21
discoverer 10214637-n:0
disembark 01979241-v:0
disgrace 01800422-v:0
dish 03206908-n:9 01180351-v:0
dish_out 01180351-v:0
dish_up 01180351-v:1
disinformation 06635313-n:0
disinherit 02316097-v:0
disjunct 02111095-a:0
disk 03208556-n:4
disk_harrow 03210245-n:0
dislocate 00414823-v:0
dismiss 00801626-v:4
disobliging 00021592-a:0
disorganized_schizophrenia 14399438-n:0
disorganized_type_schizophrenia 14399438-n:0
disorientation 05684003-n:0
disown 02316097-v:1
dispatch 06682794-n:3 02482425-v:0
dispatch_box 03210372-n:0
dispatch_case 03210372-n:0
dispatch_rider 10017664-n:0
displace 02013571-v:1 01850315-v:0
display 02140033-v:35
dispose 01496497-v:0
disputation 07242104-n:0
dissertation 06409085-n:0
dissociative_disorder 14417300-n:0
distance 05084201-n:54
distemper 03212698-n:0
distil 00229280-v:0
distill 00229280-v:1
distillery 03212811-n:0
distortion 11511765-n:0
disunity 13982588-n:0
ditch 03214253-n:2 02224945-v:0
dithyramb 06379094-n:0
divan 03214966-n:5 06592576-n:0
diversionist 10544748-n:0
dividable 00785406-a:0
dividend 13408023-n:5
diving_dress 03216402-n:0
diving_suit 03216402-n:0
division 08219330-n:0
division_heterokontophyta 01399529-n:0
diwan 06592576-n:0
do 01645601-v:35 01619014-v:9
docket 01008719-v:1 01008546-v:0
dodge 02096670-v:1
dodging 00203753-n:0
dog 07676602-n:0
dog_racing 07459868-n:0
dogwood 12947171-n:0
doily 03219010-n:0
dollop 13772020-n:0
dolman 03219966-n:0 03219859-n:0
dolman_jacket 03219966-n:0
dolman_sleeve 03220095-n:0
dombeya 12197901-n:0
domestic_violence 00965718-n:0
domicile 02650552-v:0
domiciliate 02650552-v:0
dominating 00787595-a:0
domino 03221205-n:0 03221059-n:0
dongle 03221351-n:0
doo-wop 07061677-n:0
doodle 01693324-v:0
door 03221720-n:98 03222318-n:0
doorknocker 03626760-n:0
doormat 03223299-n:0
doorsill 03223686-n:0
doorstep 03223686-n:0
dorian_order 04698998-n:0
doric_order 04698998-n:0
dossier 06503551-n:0
dot 00998294-v:0
double 02217452-a:5 02063309-v:1 01734502-v:0
double-breasted 00794426-a:1
double-edged 00102786-a:0
double_crochet 01673137-v:0
double_damages 13292104-n:0
double_dipper 10027798-n:0
double_knit 03227317-n:0
double_over 02063309-v:1
double_stitch 01673137-v:0
double_talk 06610897-n:0
double_up 02063309-v:1
doubletree 03228365-n:0
dovetail 03228967-n:0
dovetail_joint 03228967-n:0
dovetail_plane 03229115-n:0
dowel 03229244-n:0
dowel_pin 03229244-n:0
doweling 00148762-n:1
down 00095320-r:98
downcast 03229420-n:0
downstroke 06799485-n:0
downward 00095320-r:2
downwardly 00095320-r:0
downwards 00095320-r:0
doyley 03219010-n:0
doyly 03219010-n:0
dpt_vaccine 03230446-n:0
dracontium 11788039-n:0
dracula 12059851-n:0
draft 11522448-n:1 07883980-n:0 01683582-v:0
drafting_board 03231024-n:1
dragon 09494388-n:6
dragon's_mouth 12046028-n:0
drain 02071457-v:2
drainplug 03232815-n:0
drape 03151077-n:1 01543000-v:1
drapery 03151077-n:4
draught 07883980-n:2 11522448-n:0 01683582-v:0
draw 01582645-v:10 00730758-v:10
draw_out 01351170-v:0
drawbar 03233624-n:0
drawbridge 03233744-n:0
drawer 03233905-n:5
drawing_board 03231024-n:1
dredge 01244516-v:0
dress 03236735-n:15 00047945-v:8 01364184-v:0
dress_circle 03033019-n:0
dress_hanger 03057920-n:0
dress_hat 03237416-n:0
dress_shirt 03238879-n:0
dress_up 01670315-v:0
dressmaking 00608162-n:0
drifting 00297404-n:0
driftwood 14837678-n:0
drill 03239726-n:0 01443021-v:21
drill_bit 03240327-n:0
drill_hole 02875233-n:0
drill_rod 14837786-n:0
drill_site 03241236-n:0
drill_steel 14837786-n:0
drilling 00942799-n:0 00923130-n:0
drilling_bit 03240327-n:0
drilling_fluid 14838951-n:0
drilling_mud 14838951-n:0
drilling_pipe 03240482-n:0
drinking_chocolate 07922764-n:0
drip_mat 03242120-n:0
drip_pot 03242506-n:0
drive 00307631-n:1
driven_well 03243903-n:0
driver 03244047-n:0
drop 01489465-v:3
drop_cloth 03246312-n:0
drop_earring 03909020-n:0
drop_forge 03246653-n:0
drop_hammer 03246653-n:0
drop_off 01489465-v:0
drop_press 03246653-n:0
drum 03249569-n:5 02890351-n:0 02594552-n:0
drum_sander 03250588-n:0
drumbeat 07392373-n:0
drumfish 02594552-n:0
dry-bulb_thermometer 03251100-n:0
dry-wood_termite 02223520-n:0
dryadella 12060118-n:0
dual 02217452-a:3
duck 01846331-n:4
ductus_arteriosus 05418177-n:0
duet 00529224-n:0
duff 07618119-n:0
duffel_coat 03254046-n:0
duffle_coat 03254046-n:0
duke_of_windsor 10951697-n:0
dummy 01623656-v:0
dummy_up 01623656-v:0
dump 02224945-v:1
dunce's_cap 03256631-n:0
dunce_cap 03256631-n:0
dungeon 03256928-n:0
duple 02217452-a:0
duplicate 01734502-v:3 01735308-v:0
duplication 01019703-n:1
duplicator 03257586-n:0
duramen 13097752-n:0
dust_cover 07248320-n:0
dust_jacket 07248320-n:0
dust_wrapper 07248320-n:0
duster 00108081-n:0
duvet 03266749-n:0
dye 14985383-n:0
dyestuff 14985383-n:0
dyewood 15100023-n:0
dying 00003939-a:2
dyschezia 14371449-n:0
dyslectic 01275195-a:0
dyslexic 01275195-a:0
dyslogia 14402184-n:0
dysphasia 14099785-n:0
e._coli 01368338-n:0
each_year 00250570-r:0
eagle_ray 01498989-n:0
ear 05320899-n:36 05323889-n:6
ear_hole 03261157-n:0
ear_lobe 05323588-n:0
eardrop 03909020-n:0
earflap 03261019-n:0
earlap 03261019-n:0
earlobe 05323588-n:0
earmuff 03261603-n:0
earplug 03262072-n:0
earring 03262349-n:0
earth 14842992-n:20 03462747-n:0
earth-closet 03860404-n:0
earthenware 03262519-n:0
earthnut 07737745-n:0
ease 04708113-n:1
ease_up 01848465-v:1
easel 03262809-n:4
easiness 04708113-n:0
ebony 12770736-n:0
eccentric 09909060-n:0
echeneis_naucrates 02575325-n:0
echocardiograph 03263758-n:0
echoencephalograph 03263888-n:0
echography 00901789-n:0
ecliptic 08565214-n:3
ecrevisse 07788885-n:0
eden 05628658-n:0
edger 10044763-n:0
edible_mussel 01964271-n:0
educate 00603298-v:3
educe 00251615-v:0
edward 10951697-n:0
edward_viii 10951697-n:0
eel 07783967-n:0 02526121-n:0
egg 01460457-n:19
eggnog 07932039-n:0
eggplant 12896000-n:0
eggplant_bush 12896000-n:0
egret 02008796-n:0
eiderdown 03266749-n:0
eightvo 05096408-n:0
eject 01468576-v:2
elaborate 00955601-v:7
elan 07555402-n:0
elbow 03268311-n:0
eld 15145171-n:0
electric-arc_furnace 04305016-n:0
electric-light_bulb 03665924-n:0
electric_circuit 03033362-n:1
electric_drill 03240140-n:0
electric_light 03665924-n:2
electric_sander 03250588-n:0
electric_shock 14291823-n:0
electric_switch 04372370-n:0
electrical_circuit 03033362-n:0
electrical_switch 04372370-n:0
electromagnet 03276179-n:1
electronic 02718497-a:4
element 03081021-n:10
elementary_school 08412749-n:1
elephantiasis 14367341-n:0
elevator_shaft 03281673-n:0
elfin 02719872-a:0 02122543-a:0
elfish 02122543-a:0
elicit 01759326-v:6
elision 13473536-n:0
elixir 14841056-n:0
elkhorn_fern 13177884-n:0
elm 12406155-n:0
elmwood 12406155-n:0
elopement 00058608-n:0
elvish 02122543-a:0
emaciation 05001867-n:0
embarrassment 13986189-n:1
embed 01089423-v:0
embellish 01675963-v:0
embolectomy 00673234-n:0
embossed 00057149-a:0
embothrium_coccineum 12216628-n:0
embrace 01424456-v:3
embrasure 03984908-n:0
embroidery_needle 03162556-n:0
embroidery_stitch 04180314-n:0
emergency 07417405-n:10 03483637-n:0
emergency_brake 03483637-n:0
eminent_domain 05187187-n:1
emolument 13290285-n:0
emoticon 06279939-n:0
emphysematous_gangrene 14313943-n:0
emphysematous_phlegmon 14313943-n:0
empirin 02748618-n:0
emplace 01496843-v:0 01496630-v:0
emplacement 01051331-n:0
employ 01158872-v:42
emporium 03176763-n:0
encephalitis 14342132-n:0
encephalogram 03285730-n:0
encephalography 00906290-n:0
enchant 00776988-v:0
enclose 00187526-v:0
enclosed_space 13911517-n:0
enclosure 06473381-n:0
enclothe 00047945-v:0
encore 00099439-n:0
end 08566028-n:35 01620854-v:0
endanger 01036319-v:2
endive 11953339-n:0
endocarp 11684739-n:0
endothelial_myeloma 14240587-n:0
endozoic 00889490-a:0
engender 00054628-v:0
english_muffin 07682477-n:1
english_runner_bean 07728391-n:0
engraulis_encrasicholus 02534165-n:0
enkindle 01759326-v:0
enlarge 00154778-v:7 00955601-v:1
ensconce 01493619-v:1
enslavement 00089234-n:0
ensnare 02578008-v:0
enter 01000214-v:7 01421622-v:0
enteric_bacteria 01367772-n:0
enterics 01367772-n:0
enteritis 14344997-n:0
enterobacteria 01367772-n:0
enterostomy 00671022-n:0
enterotomy 00671022-n:0
enthrone 02391193-v:0
entitle 02447370-v:17
entoproct 02314492-n:0
entozoan 00889490-a:0
entozoic 00889490-a:0
entrap 02578008-v:0
entric 01367772-n:0
entrust 02356230-v:0
envelope 03291819-n:9
epidemic_myalgia 14330340-n:0
epidemic_pleurodynia 14330340-n:0
epinephelus_fulvus 02569334-n:0
epiphyte 13122985-n:0
epiphytic_plant 13122985-n:0
episcia 12831932-n:0
episodic 01842468-a:0
epizoic 00889672-a:0
equator 13874073-n:0
equivocate 00835506-v:0
equivocation 04825383-n:0
era 15248020-n:0
erb's_palsy 14090842-n:0
erb-duchenne_paralysis 14090842-n:0
erect 01661243-v:17
erigeron 11965378-n:0
erigeron_pulchellus 11967142-n:0
erinyes 09506337-n:0
eriocaulon 12609128-n:0
eruption 07435273-n:0
erythrite 14674776-n:0
erythrocyte_sedimentation_rate 15277462-n:0
escallop 07654886-n:0
escape 07436661-n:0 00530017-v:0
escargot 07782475-n:0
escarpment 09274152-n:0
escherichia_coli 01368338-n:0
eschew 00812149-v:2
especially 00084223-r:66
esq 10064046-n:0
esquire 10064046-n:0
esr 15277462-n:0
essential_tremor 14005302-n:0
establish 00665476-v:15 01647672-v:6 01570108-v:2 01655505-v:1
estaminet 03298089-n:0
etc. 00103664-r:6
etcetera 00103664-r:3
etch 01750421-v:1
etching 03299519-n:0 03299406-n:0
ethnocentric 03135290-a:0
ethyl_alcohol 07902121-n:0
etna 02921029-n:0
eubacteriales 01356086-n:0
eucalyptus 12335351-n:0
eumenides 09506337-n:0
eupatorium_aya-pana 11937692-n:0
euphausiacea 01988481-n:0
euphorbia_pulcherrima 12920204-n:0
euphoria 07529096-n:1
euphory 07529096-n:0
eupneic 00267452-a:0
eupnoeic 00267452-a:0
european_pasqueflower 11738203-n:0
eutrophication 13476590-n:0
evacuate 00449567-v:0
evasive 00896182-a:2
evasiveness 04825383-n:0
eve 09586743-n:7
even_so 00027384-r:4
evening_shirt 03238879-n:0
evening_star 09276872-n:0
evergreen_beech 12266217-n:0
everyday 01674242-a:7
evoke 01759326-v:10 01629958-v:0
ewing's_sarcoma 14240587-n:0
ewing's_tumor 14240587-n:0
ewing's_tumour 14240587-n:0
excavate 02143539-v:0 01313923-v:0 01311378-v:0 01310660-v:0
excavation 03302121-n:0 00922327-n:0
exchange 00196485-n:0 00167063-n:0 00161225-v:2 02257767-v:0
excitement 00554300-n:2
exciting 00921014-a:12
exclude 01468576-v:0
excrescent 02723904-a:0
executant 10069296-n:0
executive_clemency 13945495-n:0
executive_session 07147116-n:0
exercising_weight 04571292-n:0
exhalation 00835267-n:0
exhaust_fan 03303217-n:0
exhaust_hood 03531546-n:0
exhibit 02140033-v:11
exhibition 08407619-n:4
exhibitionist 10070711-n:0
exigency 07417405-n:0
existential_philosophy 05970755-n:0
existentialism 05970755-n:0
existentialist_philosophy 05970755-n:0
exit 03303965-n:1
exit_poll 05801286-n:0
exopterygota 02232408-n:0
exostosis 14234317-n:0
expand 00955601-v:0
expatiate 00955601-v:0
expectedness 14501375-n:0
expense 13277886-n:1
expert_witness 10072346-n:0
expiration 00835267-n:0
expletive 07125096-n:1
explode 00306017-v:5
explorative 00877345-a:0
exploratory 00877345-a:1
expo 08407619-n:0
expose 02140033-v:4 01036319-v:1
exposit 00955601-v:0
exposition 06742426-n:2 08407619-n:0
expound 00955601-v:3
expounding 06742426-n:0
express_trust 13362347-n:0
expressionless 00501313-a:2
external_respiration 00831191-n:0
extra 06597349-n:0
extra_large 05096095-n:0
extract 14848785-n:3 01351170-v:8 00229280-v:1
extradition 00213482-n:0
extraordinariness 04796490-n:0
extrude 01675780-v:1
eye 05311054-n:263 08523483-n:0 03308297-n:0
eye-deceiving 01935581-a:1
eye_mask 03221059-n:0
eyehole 03905208-n:0 03308853-n:0
eyelet 03308853-n:0 03132438-n:0
eyespot 04681621-n:0
f 14637507-n:0
f_clef 06862954-n:0
fable 06757891-n:0
fabric 03309808-n:11
fabricate 01634424-v:0
fabrication 06757891-n:0 00924825-n:0
face 05600637-n:193 03313602-n:1 01066433-v:3 01271936-v:0
face_lift 00265472-n:0
face_lifting 00265472-n:1
facelift 00265472-n:0
facial 00665781-n:0
facing 03315805-n:2
faction 08241798-n:2
factoid 06484887-n:0
factor_of_proportionality 13593634-n:0
fae 03400389-n:0
failure 14059663-n:0
fair_trade 01092403-n:0
fairy_cup 12800832-n:0
fake 10201535-n:0 01654271-v:1
faker 10201535-n:1
fall 00067707-n:1
false 02500379-a:0 02182088-a:0
false_witness 10416909-n:0
familial 01314537-a:0
familiar 09545171-n:0
familiar_spirit 09545171-n:0
family_amygdalaceae 12644464-n:0
family_arecaceae 12581381-n:0
family_bacillaceae 01356459-n:0
family_bacteroidaceae 01364587-n:0
family_bombacaceae 12188985-n:0
family_caesalpiniaceae 12487394-n:0
family_caryophyllaceae 11804604-n:0
family_celastraceae 12747563-n:0
family_danaidae 02279442-n:0
family_dipsacaceae 12682054-n:0
family_hypericaceae 12367122-n:0
family_ipidae 02179429-n:0
family_iridaceae 12411084-n:0
family_juglandaceae 12317919-n:0
family_leitneriaceae 11742531-n:0
family_lepidobotryaceae 12701178-n:0
family_lomariopsidaceae 13202749-n:0
family_lorisidae 02498355-n:0
family_lycaenidae 02281552-n:0
family_marantaceae 12351287-n:0
family_marchantiaceae 11543602-n:0
family_medicine 00632342-n:0
family_micrococcaceae 01378800-n:0
family_mimosaceae 11753936-n:0
family_nitrobacteriaceae 01361973-n:0
family_palmaceae 12581381-n:0
family_palmae 12581381-n:0
family_papilionacea 12501537-n:0
family_pongidae 02479896-n:0
family_portulacaceae 11856981-n:0
family_practice 00632342-n:0
family_pythiaceae 12982103-n:0
family_rhamnaceae 13140699-n:0
family_rhizophoraceae 12345495-n:0
family_rutaceae 12706644-n:0
family_scolytidae 02179429-n:0
family_simaroubaceae 12715569-n:0
family_terebellidae 01937015-n:0
family_xyridaceae 12605315-n:0
fan 03320046-n:4
fan-jet 03321103-n:0
fan_belt 03320262-n:0
fan_tan 00507887-n:0
fang 01785234-n:0
fanjet 03321103-n:0
fanjet_engine 03321103-n:0
fanlight 04473108-n:0 03320959-n:0
fantan 00507887-n:0
fantasia 07044543-n:1
far_east 08562757-n:2
fashion 04928903-n:17
fashioned 01340016-a:0
fashioning 00923995-n:0
fasten 01340439-v:13 01290133-v:2 00420132-v:0
fastened 00296625-a:0
fastener 03323703-n:0
fastening 03323703-n:0 00147595-n:0
fastness 05058140-n:0
father 00054628-v:2
father-figure 10081842-n:0
fault 00842538-v:1
fauna 00015388-n:0
fe 14642417-n:0
fear 07519253-n:73
fearfulness 07519253-n:0
featherbedding 00411553-n:0
federal_job_safety_law 06535652-n:0
fee_splitting 01121245-n:0
feeling 05916739-n:28
felicia 11969410-n:0
fell 03326475-n:0
felled_seam 03326475-n:0
felo-de-se 10673669-n:0
fen 09347779-n:0
fence 03327234-n:32
fence_line 08514865-n:3
fencing 03327234-n:2
fenestella 03697665-n:0
fenestra_of_the_vestibule 05325606-n:0
fenestra_ovalis 05325606-n:0
fenestra_vestibuli 05325606-n:0
fenestration 00674562-n:0
fenland 09347779-n:0
feria 00517564-n:0
ferrocyanide 14866605-n:0
ferrule 03329536-n:0
festival 00517728-n:0
fetal_distress 14093874-n:0
fetal_movement 00334174-n:0
fete 00517728-n:0
fetoscope 03330792-n:0
feverroot 12679876-n:0
fez 03331077-n:0
fibbing 00752144-n:0
fiberboard 03331390-n:0
fibreboard 03331390-n:0
fibrous 02446380-a:0
fiction 06757891-n:0
fictional_animal 02451575-n:0
fictitiously 00102258-r:0
fiddle 04536866-n:1 01586018-v:0
field 08569998-n:49
field_spaniel 02101670-n:0
figure_eight 03335846-n:0
figure_of_eight 03335846-n:0
filagree 03337822-n:0
filament 03336575-n:0
file 03336839-n:1 01387022-v:10 01001643-v:1
file_away 01001643-v:1 01384638-v:0
file_system 05732614-n:0
filigree 03337822-n:0
filing_system 05732614-n:0
fillagree 03337822-n:0
film 03338821-n:5 03339296-n:0 01711965-v:0
film-make 01712204-v:0
film_director 10088200-n:0
film_festival 00517418-n:0
film_projector 03795976-n:0
filming 00907919-n:1
filter_paper 14868464-n:1
fin 03692676-n:0
finalise 00481941-v:0
finalize 00481941-v:0
find 00522751-v:13
find_out 00598954-v:17 00920336-v:1
finding 00151497-n:16
fine 00053004-r:3
finger 05566504-n:53
finger_cymbals 02869249-n:0
finger_hole 03341850-n:0 03341707-n:0
fingerboard 03341297-n:0
fingermark 04694980-n:0
fingerprint 06644393-n:5 04694980-n:0
finial 03342529-n:0
finite 01008439-a:0
fink 00819508-v:0
finnan 07789745-n:0
finnan_haddie 07789745-n:0
finnan_haddock 07789745-n:0
fipple 03343234-n:0
fipple_flute 03343354-n:0
fipple_pipe 03343354-n:0
fir 11620912-n:0
fire 01759326-v:1
fire_salamander 01629962-n:0
firebrand 10209246-n:0
firedrake 09494388-n:0
fireside 08581699-n:1
firewall 03348142-n:0
fisa 06565397-n:0
fish 02512053-n:12
fish_farm 03351036-n:0
fisheye_lens 04583212-n:0
fishing_line 03351768-n:0
fishing_pole 03351979-n:0
fishing_rod 03351979-n:1
fishtail_bit 03353147-n:0
fit 02659763-v:11 00300113-v:5
fit_out 00047945-v:0
fitted_sheet 03353467-n:0
fitter 10093908-n:0
fix 01340439-v:7 01647543-v:2 01575675-v:0
fixed 01059400-a:2
fixer 10094046-n:1
fixer-upper 03354207-n:0
fixing 03323703-n:0
fixings 03354350-n:0
fizz 07919310-n:0
flaccid_bladder 14401240-n:0
flag 03354903-n:31 06493158-n:3
flagellate 01416585-n:0
flagellate_protozoan 01416585-n:0
flagellated_protozoan 01416585-n:1
flageolet 07727741-n:0 03355468-n:0
flagon 03355768-n:0
flame 00824593-v:0
flamingo_flower 11784126-n:0
flamingo_plant 11784126-n:0
flannel_leaf 12888906-n:0
flap 03357376-n:3
flare 00304252-v:1
flare_out 00304252-v:0
flashing 03359008-n:0
flat 02726305-n:0
flat-footed 01032845-a:0
flat_panel_display 03361380-n:0
flat_tip_screwdriver 03361683-n:0
flatbread 07682624-n:0
flatfish 07790400-n:0
flatiron 03361194-n:0
fleck 01531998-v:0
flesh_out 00955601-v:0
fleshy 00987769-a:1
flick 07338358-n:2 01242208-v:0
flier 07250339-n:0
flimsy 14969254-n:0
fling 00787061-n:0
flintlock 03363549-n:0
flitch 07791937-n:0
float 01514887-v:0
flood 11454591-n:5 00217152-v:3
flowage 09282534-n:0
flower 11669335-n:8
flower-cup_fern 13202355-n:0
flower_petal 11690455-n:0
flowering_wintergreen 12705698-n:0
flue 03369011-n:0
flue_pipe 03369011-n:0
fluorescein_isocyanate 14988150-n:0
fluorescein_isothiocyanate 14988150-n:0
fluorine 14637507-n:1
fluorosis 14068528-n:0
fluoxetine 03370927-n:0
fluoxetine_hydrocholoride 03370927-n:0
flush 00455529-v:0
flute 03372029-n:1
fluvastatin 03372656-n:0
flux 14033917-n:0
fly 03373060-n:1
fly-by 00303297-n:0
fly_front 03373060-n:0
flyer 07250339-n:1
flyover 00303297-n:0
flypast 00303297-n:0
flyspeck 14869975-n:0
foetal_distress 14093874-n:0
foetal_movement 00334174-n:0
foetoscope 03330792-n:0
fog 11458314-n:15
fold 01277974-v:5
fold_up 01277974-v:1
folder 06413889-n:0
folio 03377245-n:0
folk 08372411-n:1
folsom_culture 08291813-n:0
food_court 03378005-n:0
fool's_cap 03256631-n:0
foot 05563266-n:89
footlocker 03380301-n:0
forecaster 10102506-n:0
foreign_intelligence_surveillance_act 06565397-n:0
foreordination 05966129-n:0
forge 01654271-v:1 01659248-v:0
forger 10105085-n:0
forgery 00768921-n:0
fork 01118888-v:0
form 05930736-n:40 05064037-n:23 02448185-v:28 02621395-v:26 00142191-v:12 01659248-v:11
formicary 09199101-n:0
formula 06788785-n:6
forsooth 00038264-r:0
forswear 00798717-v:1
fortified_wine 07900406-n:0
fortify 00220869-v:4
forty_winks 00858377-n:0
fosse 03776050-n:0
fossil_oil 14980579-n:0
foster_care 01131993-n:0
foster_home 07973868-n:1
foulard 03386726-n:0
foundation_stone 03387506-n:0
foundry_proof 06591224-n:0
fountain_pen 03388183-n:0
fouquieria_splendens 12381931-n:0
four-centered_arch 04495555-n:0
four-part_harmony 07027805-n:0
fpd 03361380-n:0
fractional_monetary_unit 13662703-n:0
frame 02578008-v:1
frank 07676602-n:0
frankenstein 09599401-n:0
frankenstein's_monster 09599401-n:0
frankfurter 07676602-n:0
fraternal 02731699-a:0
fraud 10201535-n:2
fraud_in_the_inducement 00778809-n:0
free-reed 03393199-n:0
free-reed_instrument 03393324-n:0
free-swimming 00160288-a:3
free_electron 09285648-n:0
free_radical 14874196-n:2
free_weight 04571292-n:0
freebee 13272545-n:0
freebie 13272545-n:0
freesia 12417062-n:0
freestanding 00160768-a:0
freezing_mixture 14874564-n:0
french_knot 03395095-n:0
french_lavender 12850168-n:0
french_polish 03395256-n:0
french_polish_shellac 03395256-n:0
fresh 01067694-a:16
freshness 04926728-n:1
freshwater_bream 02563182-n:0
fretwork 03646916-n:0
friction_match 03728437-n:0
friend_of_the_court 09788237-n:0
fright 07519253-n:2
frijole 07727377-n:0
fringed_polygala 12705698-n:0
fritillaria_liliaceae 12453018-n:0
fritillaria_meleagris 12453186-n:0
frock 03236735-n:0
frontal_suture 05544078-n:0
froth 00511855-v:0
fruit_machine 03399971-n:0
fruitwood 12652876-n:0
fry_bread 07685546-n:0
fuck_off 02010864-v:0
fuel-air_explosive 03400389-n:0
fuel_cell 03400798-n:0
full 00106020-a:1 00433668-v:0
full_faith_and_credit 06686573-n:0
full_metal_jacket 03402369-n:0
full_nelson 00813571-n:0
full_point 06843520-n:0
full_stop 06843520-n:0
fun 04649261-n:0
fund 02218635-v:0
funnel 13872822-n:1 03403431-n:0
funnel_shape 13872822-n:0
funny 06779310-n:0
funny_remark 06779310-n:0
funny_story 06779310-n:0
fur 03404149-n:0
furnace_room 03405111-n:0
furniture_maker 09885866-n:0
furosemide 03406597-n:0
furrier 09929861-n:0
furring 03406838-n:0
